text,topic,probability,umap_dim1,umap_dim2
两岸关系_敏感 背景_下 金门_海域 渔船_事故 成为 一触即发 导火索,1,1.0,5.4570823,-2.9090874
台方 行动_不仅 造成_人员 伤亡 悲剧 更 政治_层面 引发_一系列 紧张_对抗 台_当局 此举_无疑 加剧_两岸 紧张_关系 自身 面临_着 前所未有 外交 压力,0,1.0,4.4752865,4.1860275
国台办 立场 国台办_发言人 朱凤莲 指责 台湾_方面 粗暴_行为 导致_两名 大陆_渔民 遇难 激 起 大陆_各界 强烈_愤慨,0,0.7377957881678802,5.1629357,3.474144
朱凤莲_表示 大陆 台湾_同胞 始终 怀有 善意_绝不会 容忍 台方_漠视 大陆_渔民 生命_财产 安全 行为,0,0.8479924661360396,4.826098,6.1438527
国台办_强烈 要求_台方 立即 释放_扣押 渔船 渔民 彻查_事故 真相 严肃_处理 相关_责任 人 并 遇难_渔民 家属_两岸 同胞_作出 妥善 解释,0,0.731389197463022,5.273783,3.5635781
国台办 还 明确_表示 保留_采取 更多 措施_权利 并_指出 所有_后果 将 由_台方 承担,0,0.9612787109268014,5.1177707,2.3223484
福建_海警 执法 继 国台办_表达 立场 后 福建_海警 厦门_金门 海域 加强_执法 巡查_力度,0,0.8563911509115668,12.715846,4.164989
福建_海警 此次 增强 执法_行动 目的_为了 维护_该 海域_正常 作业_秩序 并 保护_渔民 生命_财产 安全,0,0.6592926252662323,6.2863097,5.066984
中国海警局_新闻 发言人_甘羽 强调_此举 旨在_维护 相关_海域 正常_秩序,0,0.5178456352115594,7.0248656,2.2435803
甘羽 还 提到 台_当局 长期以来 派遣 海巡_部门 大陆_渔船 执行 暴力_执法 一_行为 触发 福建_海警 执法 响应,0,0.7583391535134315,8.812314,2.8666267
台_当局 立 场台 当局 事件 并无悔意 反而 推动 受害者 罪论 论调,0,0.7959801092747165,4.033849,6.9536576
台湾陆委会 声明 台方海巡_单位 执法_过程 中 并未 不当_行为 并_强调 维护_渔民 权益 过程_中 需要 采取 严正_执法 措施,0,0.988909802691574,6.9604816,4.1138015
岛内_专家 陆委会 发言 表示 批评 认为 其 没有 体现_出 应有 人道_关怀 反倒 把 遇难_渔民 视为 罪犯,0,0.7936421093617793,4.910009,6.338223
两岸_渔业 争端 两岸_渔业 争端 中台_当局 常 越界_捕捞 为由 扣留_大陆 渔船,0,0.680357275224719,3.31335,10.398051
大陆_方面 则 保障_两岸 渔民_正常 作业 提供 诸多 支持 包括_设立 台湾 渔民_接待 设施,0,0.9297186812555638,4.980431,5.2695856
台方_查扣 行为 大陆_方面 提供 渔业 支援 形成_鲜明 对比,0,1.0,4.4570985,9.360086
